"Reference";"Value";"Footprint";"LCSC";"LCSC Part #";"Menge"
"C1-C8";"10p";"Capacitor_SMD:C_0402_1005Metric";"C32949";"C32949";"8"
"C9; C12";"10u/16";"Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A";"C7171";"C7171";"2"
"C10; C11; C13; C14";"100n";"Capacitor_SMD:C_0402_1005Metric";"C307331";"C307331";"4"
"D1; D2";"1N5819WS";"Diode_SMD:D_SOD-323";"C191023";"C191023";"2"
"J1";"In 1";"Connector_Audio_QingPu:Jack_3.5mm_QingPu_WQP-PJ324M";"";"";"1"
"J2";"In 2";"Connector_Audio_QingPu:Jack_3.5mm_QingPu_WQP-PJ324M";"";"";"1"
"J3";"Out 1-1";"Connector_Audio_QingPu:Jack_3.5mm_QingPu_WQP-PJ324M";"";"";"1"
"J4";"Out 2-1";"Connector_Audio_QingPu:Jack_3.5mm_QingPu_WQP-PJ324M";"";"";"1"
"J5";"Out 1-2";"Connector_Audio_QingPu:Jack_3.5mm_QingPu_WQP-PJ324M";"";"";"1"
"J6";"Out 2-2";"Connector_Audio_QingPu:Jack_3.5mm_QingPu_WQP-PJ324M";"";"";"1"
"J7";"Out 1-3";"Connector_Audio_QingPu:Jack_3.5mm_QingPu_WQP-PJ324M";"";"";"1"
"J8";"Out 2-3";"Connector_Audio_QingPu:Jack_3.5mm_QingPu_WQP-PJ324M";"";"";"1"
"J9";"Power";"CATs_Eurosynth_Specials:Power_2x8_Horizontal";"";"";"1"
"R1-R8; R11-R14; R17-R20";"100k";"Resistor_SMD:R_0402_1005Metric";"C25741";"C25741";"16"
"R9; R10; R15; R16; R21; R22";"1k";"Resistor_SMD:R_1206_3216Metric";"C4410";"C4410";"6"
"U1; U2";"TL074CDT";"Package_SO:SOIC-14_3.9x8.7mm_P1.27mm";"C6963";"C6963";"2"
