Designator,Mid X,Mid Y,Rotation,Layer
U2,26.67,-60.96,0.0,top
U1,26.67,-11.43,0.0,top
C14,33.02,-60.96,0.0,top
C13,33.02,-11.43,0.0,top
C11,20.32,-60.96,0.0,top
R22,33.02,-67.31,0.0,top
R21,33.02,-17.78,0.0,top
R20,35.56,-64.135,180.0,top
R19,35.56,-14.605,180.0,top
R18,33.655,-64.135,-90.0,top
R17,33.655,-14.605,-90.0,top
R16,33.02,-54.61,0.0,top
R15,33.02,-5.08,0.0,top
R14,35.56,-57.785,180.0,top
R13,35.56,-8.255,180.0,top
R12,33.655,-57.785,90.0,top
R11,33.655,-8.255,90.0,top
R10,20.32,-67.31,180.0,top
R9,20.32,-17.78,180.0,top
R8,17.78,-64.135,0.0,top
R7,17.78,-14.605,0.0,top
R6,17.78,-57.785,0.0,top
R5,17.78,-8.255,0.0,top
R4,19.685,-57.785,90.0,top
R3,19.685,-8.255,90.0,top
R2,19.685,-64.135,-90.0,top
R1,19.685,-14.605,-90.0,top
J9,25.535,-78.74,0.0,top
J8,0.0,-95.885,0.0,top
J7,0.0,-44.45,0.0,top
J6,0.0,-83.185,0.0,top
J5,0.0,-31.75,0.0,top
J4,0.0,-70.5,0.0,top
J3,0.0,-19.05,0.0,top
J2,0.0,-57.912,0.0,top
J1,0.0,-6.35,0.0,top
D2,20.32,-96.52,180.0,top
D1,20.32,-86.36,0.0,top
C12,20.32,-93.98,180.0,top
C10,20.32,-11.43,0.0,top
C9,20.32,-83.82,0.0,top
C8,32.385,-64.135,-90.0,top
C7,32.385,-14.605,-90.0,top
C6,32.385,-57.785,90.0,top
C5,32.385,-8.255,90.0,top
C4,20.955,-64.135,-90.0,top
C3,20.955,-14.605,-90.0,top
C2,20.955,-57.785,90.0,top
C1,20.955,-8.255,90.0,top
