Designator,Footprint,Quantity,Value,LCSC Part #
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TL082CDT,C13460
R4,R_0603_1608Metric,1,100k,C335088
R3,R_1206_3216Metric,1,1k,C4410
R2,R_0603_1608Metric,1,100k,C335088
R1,R_0603_1608Metric,1,100k,C335088
D2,D_SOD-323,1,1N4148WS,C2128
D1,D_SOD-323,1,1N4148WS,C2128
C1,C_0402_1005Metric,1,22p,C1555
R10,R_0603_1608Metric,1,100k,C335088
R11,R_0603_1608Metric,1,100k,C335088
R9,R_0603_1608Metric,1,100k,C335088
R8,R_0603_1608Metric,1,100k,C335088
R6,R_0603_1608Metric,1,100k,C335088
R5,R_0603_1608Metric,1,100k,C335088
D8,D_SOD-323,1,1N5819WS,C1884554
D7,D_SOD-323,1,1N5819WS,C1884554
C5,CP_EIA-3216-18_Kemet-A,1,10uF/16V,C7171
C2,CP_EIA-3216-18_Kemet-A,1,10uF/16V,C7171
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,TL084CDT,C11130
R12,R_1206_3216Metric,1,1k,C4410
R7,R_1206_3216Metric,1,1k,C4410
D6,D_SOD-323,1,1N4148WS,C2128
D5,D_SOD-323,1,1N4148WS,C2128
D4,D_SOD-323,1,1N4148WS,C2128
D3,D_SOD-323,1,1N4148WS,C2128
C4,C_0402_1005Metric,1,100n,C307331
C6,C_0402_1005Metric,1,100n,C307331
C7,C_0402_1005Metric,1,100n,C307331
C3,C_0402_1005Metric,1,100n,C307331
J1,Jack_3.5mm_QingPu_WQP-PJ324M,1,Full Wave,
J5,Power_2x8_Horizontal,1,Power,
J3,Jack_3.5mm_QingPu_WQP-PJ324M,1,In,
J2,Jack_3.5mm_QingPu_WQP-PJ324M,1,Negative HW,
J4,Jack_3.5mm_QingPu_WQP-PJ324M,1,Positive HW,
