Designator,Mid X,Mid Y,Rotation,Layer
U1,23.495,-57.15,0.0,top
R4,29.845,-52.705,180.0,top
R3,32.385,-58.42,-90.0,top
R2,29.21,-60.96,0.0,top
R1,23.495,-60.96,0.0,top
D2,23.495,-52.705,180.0,top
D1,17.145,-55.88,-90.0,top
C1,15.24,-55.88,90.0,top
R10,33.02,-25.0322,-90.0,top
R11,31.115,-25.8572,90.0,top
R9,29.21,-26.67,-90.0,top
R8,15.24,-20.32,90.0,top
R6,14.415,-26.035,0.0,top
R5,15.24,-28.575,-90.0,top
D8,24.765,-69.215,90.0,top
D7,22.225,-69.215,-90.0,top
C5,27.305,-69.215,90.0,top
C2,19.685,-69.215,-90.0,top
U2,23.495,-23.495,0.0,top
R12,15.24,-15.875,-90.0,top
R7,16.51,-34.29,180.0,top
D6,17.78,-16.51,-90.0,top
D5,17.78,-20.32,-90.0,top
D4,17.78,-30.48,90.0,top
D3,17.78,-26.67,90.0,top
C4,18.415,-23.495,0.0,top
C6,17.145,-59.055,0.0,top
C7,28.575,-23.495,0.0,top
C3,29.845,-55.245,0.0,top
J1,0.0,-95.25,0.0,top
J5,25.4,-78.74,0.0,top
J3,0.0,-6.35,0.0,top
J2,0.0,-69.85,0.0,top
J4,0.0,-44.45,0.0,top
