Designator,Mid X,Mid Y,Rotation,Layer
C1,31.75,-50.165,180.0,top
C10,29.21,-48.895,0.0,top
C11,19.05,-8.89,0.0,top
C12,17.145,-25.4,0.0,top
C13,19.05,-51.435,0.0,top
C14,17.145,-64.135,0.0,top
C2,31.75,-7.62,180.0,top
C3,29.21,-6.35,0.0,top
C4,19.685,-83.185,0.0,top
C5,19.685,-93.345,180.0,top
C6,31.115,-61.595,0.0,top
C7,31.115,-22.86,0.0,top
C8,17.145,-17.78,180.0,top
C9,17.145,-56.515,180.0,top
D1,31.75,-56.515,0.0,top
D2,31.75,-17.78,0.0,top
D3,19.685,-86.36,0.0,top
D4,19.685,-96.52,180.0,top
J1,0.0,-58.42,0.0,top
J2,0.0,-74.295,0.0,top
J3,0.0,-7.62,0.0,top
J4,0.0,-23.495,0.0,top
J5,24.765,-78.74,0.0,top
J6,0.0,-90.17,0.0,top
J7,0.0,-39.37,0.0,top
R1,16.51,-61.085,270.0,top
R11,34.29,-50.165,180.0,top
R12,34.29,-7.62,180.0,top
R13,15.875,-90.17,90.0,top
R14,15.875,-39.37,90.0,top
R2,16.51,-22.35,270.0,top
R3,15.24,-59.69,90.0,top
R4,15.24,-8.89,90.0,top
R5,15.24,-57.15,270.0,top
R6,15.24,-6.35,270.0,top
R8,15.875,-67.31,0.0,top
R9,19.685,-67.31,180.0,top
U1,24.065,-6.985,0.0,top
U2,20.32,-56.515,0.0,top
U3,20.32,-17.78,0.0,top
U4,24.13,-49.53,0.0,top
