Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1nF,
"C10, C11, C12, C13, C14, C3, C8, C9",0402,8,100nF,
"C4, C5",CP_EIA-3216-18_Kemet-A,2,10µF,
"C6, C7",0402,2,10nF,
"D1, D2",D_SOD-323,2,1N4148WS,
"D3, D4",D_SOD-323,2,1N5819WS,
J1,PJ-324M-3,1,Trigger 2,
J2,PJ-324M-3,1,In 2,
J3,PJ-324M-3,1,Trigger 1,
J4,PJ-324M-3,1,In 1,
J5,Power_2x8_Horizontal,1,Power,
J6,PJ-324M-3,1,Out 2,
J7,PJ-324M-3,1,Out 1,
"R1, R11, R12, R2, R3, R4, R5, R6, R9",0402,9,100k,
"R13, R14",1206,2,1k,
R8,0402,1,1k,
"U1, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,OP07CDR,
"U2, U3",DIP-8_W7.62mm_LongPads,2,LF398,
