Designator,Footprint,Quantity,Value,LCSC Part #
R17,R_0603_1608Metric,1,1k2,C22765
R4,R_0402_1005Metric,1,10k,C25744
R16,R_0603_1608Metric,1,1k,C21190
C2,CP_EIA-3216-18_Kemet-A,1,10uF/16V,C7171
R19,R_0603_1608Metric,1,1k2,C22765
C4,C_0402_1005Metric,1,100nF,C1525
IC3,SOIC-14_3.9x8.7mm_P1.27mm,1,CD4069UBM96,C93672
J1,Jack_3.5mm_QingPu_WQP-PJ324M,1,Clock,
D8,LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm,1,LED,
R14,R_0603_1608Metric,1,1k2,C22765
R10,R_0402_1005Metric,1,10k,C25744
IC1,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072CDT,C6961
J6,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out_Div_16,
Q1,SOT-23,1,MMBT3904,C20526
R18,R_0603_1608Metric,1,1k,C21190
D5,LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm,1,LED,
R24,R_0603_1608Metric,1,1k,C21190
R22,R_0603_1608Metric,1,1k,C21190
Q3,SOT-23,1,MMBT3904,C20526
R23,R_0603_1608Metric,1,1k,C21190
R7,R_0603_1608Metric,1,1k2,C22765
Q2,SOT-23,1,MMBT3904,C20526
R15,R_0402_1005Metric,1,10k,C25744
R8,R_0603_1608Metric,1,1k,C21190
D3,D_SOD-323,1,1N4148WS,C2128
C6,C_0402_1005Metric,1,100nF,C1525
J4,Jack_3.5mm_QingPu_WQP-PJ324M,1,Reset,
R21,R_0603_1608Metric,1,1k,C21190
C1,C_0402_1005Metric,1,100nF,C1525
D7,LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm,1,LED,
D4,D_SOD-323,1,1N5819WS,C191023
D9,D_SOD-323,1,1N4148WS,C2128
IC4,SOIC-14_3.9x8.7mm_P1.27mm,1,CD4024BM96,C157535
C5,C_0402_1005Metric,1,100nF,C1525
J3,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out_Div_4,
R1,R_0402_1005Metric,1,100k,C25741
R2,R_0402_1005Metric,1,100k,C25741
Q4,SOT-23,1,MMBT3904,C20526
D6,LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm,1,LED,
J2,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out_Div_2,
R12,R_0603_1608Metric,1,1k,C21190
J7,Power_2x8_Horizontal,1,Power_2x5,
J5,Jack_3.5mm_QingPu_WQP-PJ324M,1,Out_Div_8,
D2,D_SOD-323,1,1N5819WS,C191023
R5,R_0402_1005Metric,1,100k,C25741
D1,LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm,1,LED,
R20,R_0603_1608Metric,1,1k,C21190
C3,CP_EIA-3216-18_Kemet-A,1,10uF/16V,C7171
