Designator,Mid X,Mid Y,Rotation,Layer
R17,10.16,-81.28,90.0,top
R4,15.875,-6.985,0.0,top
R16,12.065,-63.5,-90.0,top
C2,20.32,-83.82,0.0,top
R19,10.16,-99.06,90.0,top
C4,31.115,-36.83,0.0,top
IC3,25.4,-27.305,0.0,top
J1,0.0,-6.35,0.0,top
D8,5.715,-97.79,-90.0,top
R14,10.16,-63.5,90.0,top
R10,15.875,-20.32,0.0,top
IC1,25.4,-15.875,0.0,top
J6,0.0,-90.17,0.0,top
Q1,17.78,-53.34,0.0,top
R18,12.065,-81.28,-90.0,top
D5,5.715,-44.45,-90.0,top
R24,8.255,-99.06,-90.0,top
R22,8.255,-63.5,-90.0,top
Q3,28.575,-53.34,0.0,top
R23,8.255,-81.28,-90.0,top
R7,10.16,-45.72,90.0,top
Q2,22.225,-53.34,0.0,top
R15,32.385,-17.78,180.0,top
R8,12.065,-45.72,-90.0,top
D3,19.05,-22.86,180.0,top
C6,20.32,-17.78,0.0,top
J4,0.0,-24.13,0.0,top
R21,8.255,-45.72,-90.0,top
C1,32.385,-13.97,0.0,top
D7,5.715,-80.01,-90.0,top
D4,20.32,-96.52,180.0,top
D9,32.605,-15.875,180.0,top
IC4,25.4,-40.64,0.0,top
C5,31.115,-23.495,0.0,top
J3,0.0,-54.61,0.0,top
R1,32.385,-19.05,180.0,top
R2,15.875,-5.715,0.0,top
Q4,33.02,-53.34,0.0,top
D6,5.715,-62.23,-90.0,top
J2,0.0,-36.83,0.0,top
R12,8.255,-15.22,-90.0,top
J7,25.4,-78.74,0.0,top
J5,0.0,-72.39,0.0,top
D2,20.32,-86.36,0.0,top
R5,15.875,-19.05,0.0,top
D1,5.715,-13.97,-90.0,top
R20,12.065,-99.06,-90.0,top
C3,20.32,-93.98,180.0,top
